corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
경인양행,012610,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,"무기안료, 염료, 유연제 및 기타 착색제 제조업","염료, 조제 무기안료, 유연제 및 기타 착색제 제조업"
경인전자,009140,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
계양전기,012200,유가증권시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,,
고려산업,002140,유가증권시장,제조업,식료품 제조업,"곡물가공품, 전분 및 전분제품 제조업",,
고려아연,010130,유가증권시장,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 제련, 정련 및 합금 제조업","연 및 아연 제련, 정련 및 합금 제조업"
고려제강,002240,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업",
광동제약,009290,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,한의약품 제조업,한의약품 제조업
광명전기,017040,유가증권시장,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",전기 공급 및 제어장치 제조업,배전반 및 전기 자동제어반 제조업
광전자,017900,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",
국도화학,007690,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
국제약품,002720,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
그린케미칼,083420,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",계면활성제 제조업
극동유화,014530,유가증권시장,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제물 재처리업,윤활유 및 그리스 제조업
금강공업,014280,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,철강관 제조업,
금비,008870,유가증권시장,제조업,비금속 광물제품 제조업,유리 및 유리제품 제조업,기타 유리제품 제조업,포장용 유리용기 제조업
금양,001570,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
금호석유화학,011780,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
금호에이치티,214330,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
