corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
네온테크,306620,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
네이처셀,007390,코스닥시장,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,,
네패스,033640,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,,
넥사다이내믹스,351320,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업
넥스턴바이오,089140,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
넥스트바이오메디컬,389650,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
넥스트아이,137940,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업",산업처리공정 제어장비 제조업
넥스트칩,396270,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업
넥스틴,348210,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
노바렉스,194700,코스닥시장,제조업,식료품 제조업,기타 식품 제조업,,
노바텍,285490,코스닥시장,제조업,기타 제품 제조업,그 외 기타 제품 제조업,,
노브랜드,145170,코스닥시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",편조의복 제조업,,
노블엠앤비,106520,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",사진장비 및 광학기기 제조업,,
노을,376930,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,방사선 장치 및 전기식 진단 기기 제조업,전기식 진단 및 요법 기기 제조업
녹십자엠에스,142280,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
녹십자웰빙,234690,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
누리플랜,069140,코스닥시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",구조용 금속제품 제조업,구조용 금속 판제품 및 공작물 제조업
누보,332290,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업",,
뉴로메카,348340,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,산업용 로봇 제조업,산업용 로봇 제조업
뉴보텍,060260,코스닥시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,1차 플라스틱제품 제조업,"플라스틱 선, 봉, 관 및 호스 제조업"
뉴온,123840,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
뉴인텍,012340,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
뉴트리,270870,코스닥시장,제조업,식료품 제조업,기타 식품 제조업,,
뉴파워프라즈마,144960,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
뉴프렉스,085670,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,인쇄회로기판 및 전자부품 실장기판 제조업,
다보링크,340360,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,,
다산네트웍스,039560,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,유선 통신장비 제조업,유선 통신장비 제조업
다산솔루에타,154040,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
다원넥스뷰,323350,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",사진장비 및 광학기기 제조업,,
다원시스,068240,코스닥시장,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",
대동금속,020400,코스닥시장,제조업,1차 금속 제조업,금속 주조업,철강 주조업,강주물 주조업
대동기어,008830,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
대륙제관,004780,코스닥시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,그 외 기타 금속가공제품 제조업,금속 캔 및 기타 포장용기 제조업
대림제지,017650,코스닥시장,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,,
대모,317850,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,건설 및 광업용 기계장비 제조업,광물처리 및 취급장비 제조업
대보마그네틱,290670,코스닥시장,제조업,전기장비 제조업,기타 전기장비 제조업,기타 전기장비 제조업,그 외 기타 전기장비 제조업
대봉엘에스,078140,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
대성미생물,036480,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,동물용 의약품 제조업,동물용 의약품 제조업
대성파인텍,104040,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
대성하이텍,129920,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,가공 공작기계 제조업,금속 절삭기계 제조업
대아티아이,045390,코스닥시장,제조업,전기장비 제조업,기타 전기장비 제조업,,
대양전기공업,108380,코스닥시장,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,선박 구성 부분품 제조업
대원산업,005710,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
대유,290380,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업",비료 및 질소화합물 제조업,
대정화금,120240,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
대주산업,003310,코스닥시장,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,,
대주전자재료,078600,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
대진첨단소재,393970,코스닥시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,1차 플라스틱제품 제조업,플라스틱 시트 및 판 제조업
대창솔루션,096350,코스닥시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",,
