corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
테크엔,308700,코넥스시장,제조업,전기장비 제조업,전구 및 조명장치 제조업,조명장치 제조업,일반용 전기 조명장치 제조업
엘에이티,311060,코넥스시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
창대정밀,368030,코넥스시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,기타 특수 목적용 기계 제조업,주형 및 금형 제조업
코스텍시스템,169670,코넥스시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
큐엠씨,136660,코넥스시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,
엔지브이아이,093510,코넥스시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
태양기계,116100,코넥스시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
볼빅,206950,코넥스시장,제조업,기타 제품 제조업,운동 및 경기용구 제조업,,
엄지하우스,224810,코넥스시장,건설업,전문직별 공사업,실내건축 및 건축마무리 공사업,,
엔에스컴퍼니,224760,코넥스시장,건설업,종합 건설업,토목 건설업,,
지에이이노더스,076340,코넥스시장,건설업,전문직별 공사업,기반조성 및 시설물 축조관련 전문공사업,,
가이아코퍼레이션,296520,코넥스시장,도매 및 소매업,도매 및 상품 중개업,생활용품 도매업,"가방, 시계, 안경 및 기타 생활용품 도매업",그 외 기타 생활용품 도매업
루트락,253610,코넥스시장,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,,
수프로,185190,코넥스시장,도매 및 소매업,도매 및 상품 중개업,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,화훼류 및 식물 도매업
태양3C,052960,코넥스시장,도매 및 소매업,자동차 및 부품 판매업,자동차 부품 및 내장품 판매업,,
로지스몬,223220,코넥스시장,운수 및 창고업,창고 및 운송관련 서비스업,기타 운송관련 서비스업,,
나라소프트,288490,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
더콘텐츠온,302920,코넥스시장,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물 및 방송프로그램 배급업","영화, 비디오물 및 방송프로그램 배급업"
데이터스트림즈,199150,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
라피치,403360,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
뿌리깊은나무들,266170,코넥스시장,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물 및 방송프로그램 제작업",방송 프로그램 제작업
아이티센코어,243870,코넥스시장,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터시스템 통합 자문, 구축 및 관리업",컴퓨터시스템 통합 자문 및 구축 서비스업
원포유,122830,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,,
유니포인트,121060,코넥스시장,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",,
유비씨,495810,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
인터로이드,311960,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,,
지슨,289860,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
타임기술,318660,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,,
틸론,217880,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
판도라티비,202960,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
팡스카이,266350,코넥스시장,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,
머니무브,179720,코넥스시장,금융 및 보험업,금융업,기타 금융업,,
길교이앤씨,456700,코넥스시장,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",,
노브메타파마,229500,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
